,날짜,강원 평균기온(℃),강원누적확진자,강원월별확진자
0,2020-02,3.6346153846153846,7,7
1,2020-03,7.590322580645162,36,29
2,2020-04,10.873333333333331,53,17
3,2020-05,17.64032258064516,57,4
4,2020-06,23.336666666666662,65,8
5,2020-07,22.596774193548388,74,9
6,2020-08,26.029032258064515,189,115
7,2020-09,19.813333333333333,224,35
8,2020-10,13.191935483870967,279,55
9,2020-11,8.365,652,373
10,2020-12,-0.0290322580645161,1207,555
11,2021-01,-2.269354838709677,1695,488
12,2021-02,2.7375000000000003,1864,169
13,2021-03,8.311290322580644,2330,466
14,2021-04,12.926666666666668,2684,354
15,2021-05,16.611290322580647,3185,501
16,2021-06,21.425,3559,374
