,날짜,서울 평균기온(℃),서울누적확진자,서울월별확진자
0,2020-02,3.630769230769231,77,77
1,2020-03,7.735483870967743,450,373
2,2020-04,11.123333333333331,633,183
3,2020-05,18.006451612903227,861,228
4,2020-06,23.886666666666667,1312,451
5,2020-07,24.14516129032258,1600,288
6,2020-08,26.51935483870968,3867,2267
7,2020-09,21.39333333333333,5293,1426
8,2020-10,14.290322580645162,6011,718
9,2020-11,8.026666666666667,8812,2801
10,2020-12,-0.3516129032258065,18996,10184
11,2021-01,-2.370967741935484,24156,5160
12,2021-02,2.732142857142857,28236,4080
13,2021-03,9.016129032258064,32030,3794
14,2021-04,14.196666666666664,37837,5807
15,2021-05,17.067741935483873,43196,5359
16,2021-06,22.816666666666663,49987,6791
