,날짜,전북 평균기온(℃),전북누적확진자,전북월별확진자
0,2020-02,5.0,5,5
1,2020-03,7.774193548387097,13,8
2,2020-04,10.4,18,5
3,2020-05,17.96451612903226,21,3
4,2020-06,22.756666666666668,27,6
5,2020-07,23.154838709677417,39,12
6,2020-08,27.39354838709677,87,48
7,2020-09,20.923333333333336,128,41
8,2020-10,14.40967741935484,166,38
9,2020-11,9.283333333333331,334,168
10,2020-12,1.5225806451612904,837,503
11,2021-01,0.032258064516129,1039,202
12,2021-02,4.046428571428572,1191,152
13,2021-03,8.793548387096775,1451,260
14,2021-04,13.676666666666668,1928,477
15,2021-05,17.27741935483871,2225,297
16,2021-06,22.576666666666664,2364,139
