,날짜,충남
0,2021-05-01,37
1,2021-05-02,19
2,2021-05-03,28
3,2021-05-04,28
4,2021-05-05,53
5,2021-05-06,75
6,2021-05-07,353
7,2021-05-08,422
8,2021-05-09,87
9,2021-05-10,23
10,2021-05-11,22
11,2021-05-12,27
12,2021-05-13,48
13,2021-05-14,54
14,2021-05-15,34
15,2021-05-16,11
16,2021-05-17,16
17,2021-05-18,30
18,2021-05-19,35
19,2021-05-20,33
20,2021-05-21,18
21,2021-05-22,24
22,2021-05-23,37
23,2021-05-24,111
24,2021-05-25,107
25,2021-05-26,46
26,2021-05-27,45
27,2021-05-28,44
28,2021-05-29,31
29,2021-05-30,32
30,2021-05-31,30
