,Unnamed: 1,날짜,인천
0,0.0,2021-01-01,26
1,1.0,2021-01-02,29
2,2.0,2021-01-03,35
3,3.0,2021-01-04,39
4,4.0,2021-01-05,24
5,5.0,2021-01-06,26
6,6.0,2021-01-07,25
7,7.0,2021-01-08,20
8,8.0,2021-01-09,24
9,9.0,2021-01-10,29
10,10.0,2021-01-11,49
11,11.0,2021-01-12,53
12,12.0,2021-01-13,99
13,13.0,2021-01-14,64
14,14.0,2021-01-15,66
15,15.0,2021-01-16,47
16,16.0,2021-01-17,17
17,17.0,2021-01-18,35
18,18.0,2021-01-19,30
19,19.0,2021-01-20,43
20,20.0,2021-01-21,50
21,21.0,2021-01-22,32
22,22.0,2021-01-23,15
23,23.0,2021-01-24,14
24,24.0,2021-01-25,32
25,25.0,2021-01-26,41
26,26.0,2021-01-27,34
27,27.0,2021-01-28,32
28,28.0,2021-01-29,21
29,29.0,2021-01-30,54
30,30.0,2021-01-31,52
31,,2021-02-01,58
32,,2021-02-02,27
33,,2021-02-03,31
34,,2021-02-04,21
35,,2021-02-05,26
36,,2021-02-06,56
37,,2021-02-07,60
38,,2021-02-08,23
39,,2021-02-09,22
40,,2021-02-10,30
41,,2021-02-11,65
42,,2021-02-12,98
43,,2021-02-13,84
44,,2021-02-14,94
45,,2021-02-15,39
46,,2021-02-16,20
47,,2021-02-17,32
48,,2021-02-18,41
49,,2021-02-19,39
50,,2021-02-20,65
51,,2021-02-21,65
52,,2021-02-22,51
53,,2021-02-23,51
54,,2021-02-24,49
55,,2021-02-25,61
56,,2021-02-26,37
57,,2021-02-27,20
58,,2021-02-28,26
59,,2021-03-01,18
60,,2021-03-02,11
61,,2021-03-03,39
62,,2021-03-04,41
63,,2021-03-05,38
64,,2021-03-06,30
65,,2021-03-07,21
66,,2021-03-08,41
67,,2021-03-09,41
68,,2021-03-10,79
69,,2021-03-11,106
70,,2021-03-12,83
71,,2021-03-13,52
72,,2021-03-14,69
73,,2021-03-15,72
74,,2021-03-16,100
75,,2021-03-17,89
76,,2021-03-18,93
77,,2021-03-19,76
78,,2021-03-20,40
79,,2021-03-21,42
80,,2021-03-22,37
81,,2021-03-23,72
82,,2021-03-24,53
83,,2021-03-25,41
84,,2021-03-26,106
85,,2021-03-27,63
86,,2021-03-28,16
87,,2021-03-29,363
88,,2021-03-30,134
89,,2021-03-31,54
90,,2021-04-01,47
91,,2021-04-02,47
92,,2021-04-03,32
93,,2021-04-04,10
94,,2021-04-05,23
95,,2021-04-06,39
96,,2021-04-07,56
97,,2021-04-08,33
98,,2021-04-09,34
99,,2021-04-10,31
100,,2021-04-11,43
101,,2021-04-12,36
102,,2021-04-13,14
103,,2021-04-14,23
104,,2021-04-15,38
105,,2021-04-16,78
106,,2021-04-17,87
107,,2021-04-18,29
108,,2021-04-19,42
109,,2021-04-20,51
110,,2021-04-21,72
111,,2021-04-22,72
112,,2021-04-23,43
113,,2021-04-24,24
114,,2021-04-25,25
115,,2021-04-26,28
116,,2021-04-27,30
117,,2021-04-28,60
118,,2021-04-29,79
119,,2021-04-30,26
120,,2021-05-01,20
121,,2021-05-02,16
122,,2021-05-03,31
123,,2021-05-04,23
124,,2021-05-05,46
125,,2021-05-06,69
126,,2021-05-07,390
127,,2021-05-08,357
128,,2021-05-09,45
129,,2021-05-10,21
130,,2021-05-11,20
131,,2021-05-12,24
132,,2021-05-13,53
133,,2021-05-14,54
134,,2021-05-15,41
135,,2021-05-16,8
136,,2021-05-17,15
137,,2021-05-18,25
138,,2021-05-19,40
139,,2021-05-20,31
140,,2021-05-21,13
141,,2021-05-22,22
142,,2021-05-23,35
143,,2021-05-24,106
144,,2021-05-25,88
145,,2021-05-26,46
146,,2021-05-27,42
147,,2021-05-28,41
148,,2021-05-29,21
149,,2021-05-30,26
150,,2021-05-31,33
151,,2021-06-01,35
152,,2021-06-02,51
153,,2021-06-03,34
154,,2021-06-04,25
155,,2021-06-05,57
156,,2021-06-06,60
157,,2021-06-07,39
158,,2021-06-08,41
159,,2021-06-09,55
160,,2021-06-10,60
161,,2021-06-11,15
162,,2021-06-12,24
163,,2021-06-13,21
164,,2021-06-14,28
165,,2021-06-15,29
166,,2021-06-16,13
167,,2021-06-17,18
168,,2021-06-18,15
169,,2021-06-19,44
170,,2021-06-20,62
171,,2021-06-21,42
172,,2021-06-22,37
173,,2021-06-23,27
174,,2021-06-24,39
175,,2021-06-25,46
176,,2021-06-26,27
177,,2021-06-27,23
178,,2021-06-28,28
179,,2021-06-29,40
180,,2021-06-30,42
