,날짜,광주
0,2021-05-01,25
1,2021-05-02,22
2,2021-05-03,19
3,2021-05-04,20
4,2021-05-05,41
5,2021-05-06,59
6,2021-05-07,204
7,2021-05-08,333
8,2021-05-09,98
9,2021-05-10,29
10,2021-05-11,30
11,2021-05-12,29
12,2021-05-13,41
13,2021-05-14,33
14,2021-05-15,17
15,2021-05-16,7
16,2021-05-17,12
17,2021-05-18,19
18,2021-05-19,30
19,2021-05-20,22
20,2021-05-21,20
21,2021-05-22,20
22,2021-05-23,29
23,2021-05-24,51
24,2021-05-25,104
25,2021-05-26,40
26,2021-05-27,31
27,2021-05-28,42
28,2021-05-29,32
29,2021-05-30,33
30,2021-05-31,37
