,날짜,세종
0,2021-04-01,63
1,2021-04-02,55
2,2021-04-03,39
3,2021-04-04,9
4,2021-04-05,23
5,2021-04-06,41
6,2021-04-07,48
7,2021-04-08,36
8,2021-04-09,31
9,2021-04-10,32
10,2021-04-11,42
11,2021-04-12,34
12,2021-04-13,16
13,2021-04-14,28
14,2021-04-15,35
15,2021-04-16,44
16,2021-04-17,79
17,2021-04-18,32
18,2021-04-19,46
19,2021-04-20,59
20,2021-04-21,57
21,2021-04-22,56
22,2021-04-23,33
23,2021-04-24,27
24,2021-04-25,32
25,2021-04-26,27
26,2021-04-27,39
27,2021-04-28,77
28,2021-04-29,72
29,2021-04-30,41
