,날짜,전북
0,2021-04-01,20
1,2021-04-02,16
2,2021-04-03,14
3,2021-04-04,5
4,2021-04-05,10
5,2021-04-06,25
6,2021-04-07,40
7,2021-04-08,23
8,2021-04-09,18
9,2021-04-10,18
10,2021-04-11,23
11,2021-04-12,14
12,2021-04-13,9
13,2021-04-14,12
14,2021-04-15,17
15,2021-04-16,18
16,2021-04-17,19
17,2021-04-18,12
18,2021-04-19,19
19,2021-04-20,28
20,2021-04-21,31
21,2021-04-22,25
22,2021-04-23,10
23,2021-04-24,12
24,2021-04-25,21
25,2021-04-26,15
26,2021-04-27,14
27,2021-04-28,23
28,2021-04-29,28
29,2021-04-30,19
